category,code,name,parent
unitary authority,GB-MON,Monmouthshire [Sir Fynwy GB-FYN],GB-WLS
council area,GB-MRY,Moray,GB-SCT
unitary authority,GB-NTL,Neath Port Talbot [Castell-nedd Port Talbot GB-CTL],GB-WLS
metropolitan district,GB-NET,Newcastle upon Tyne,GB-ENG
London borough,GB-NWM,Newham,GB-ENG
unitary authority,GB-NWP,Newport [Casnewydd GB-CNW],GB-WLS
district,GB-NMD,"Newry, Mourne and Down",GB-NIR
two-tier county,GB-NFK,Norfolk,GB-ENG
council area,GB-NAY,North Ayrshire,GB-SCT
unitary authority,GB-NEL,North East Lincolnshire,GB-ENG
council area,GB-NLK,North Lanarkshire,GB-SCT
unitary authority,GB-NLN,North Lincolnshire,GB-ENG
unitary authority,GB-NNH*,North Northamptonshire,GB-ENG
unitary authority,GB-NSM,North Somerset,GB-ENG
metropolitan district,GB-NTY,North Tyneside,GB-ENG
two-tier county,GB-NYK,North Yorkshire,GB-ENG
province,GB-NIR,Northern Ireland,
unitary authority,GB-NBL,Northumberland,GB-ENG
unitary authority,GB-NGM,Nottingham,GB-ENG
two-tier county,GB-NTT,Nottinghamshire,GB-ENG
metropolitan district,GB-OLD,Oldham,GB-ENG
council area,GB-ORK,Orkney Islands,GB-SCT
two-tier county,GB-OXF,Oxfordshire,GB-ENG
unitary authority,GB-PEM,Pembrokeshire [Sir Benfro GB-BNF],GB-WLS
council area,GB-PKN,Perth and Kinross,GB-SCT
unitary authority,GB-PTE,Peterborough,GB-ENG
unitary authority,GB-PLY,Plymouth,GB-ENG
unitary authority,GB-POR,Portsmouth,GB-ENG
unitary authority,GB-POW,Powys,GB-WLS
unitary authority,GB-RDG,Reading,GB-ENG
London borough,GB-RDB,Redbridge,GB-ENG
unitary authority,GB-RCC,Redcar and Cleveland,GB-ENG
council area,GB-RFW,Renfrewshire,GB-SCT
unitary authority,GB-RCT,Rhondda Cynon Taff [Rhondda CynonTaf],GB-WLS
London borough,GB-RIC,Richmond upon Thames,GB-ENG
metropolitan district,GB-RCH,Rochdale,GB-ENG
metropolitan district,GB-ROT,Rotherham,GB-ENG
unitary authority,GB-RUT,Rutland,GB-ENG
metropolitan district,GB-SLF,Salford,GB-ENG
metropolitan district,GB-SAW,Sandwell,GB-ENG
country,GB-SCT,Scotland,
council area,GB-SCB,Scottish Borders,GB-SCT
metropolitan district,GB-SFT,Sefton,GB-ENG
metropolitan district,GB-SHF,Sheffield,GB-ENG
council area,GB-ZET,Shetland Islands,GB-SCT
unitary authority,GB-SHR,Shropshire,GB-ENG
unitary authority,GB-SLG,Slough,GB-ENG
metropolitan district,GB-SOL,Solihull,GB-ENG
two-tier county,GB-SOM,Somerset,GB-ENG
council area,GB-SAY,South Ayrshire,GB-SCT
unitary authority,GB-SGC,South Gloucestershire,GB-ENG
council area,GB-SLK,South Lanarkshire,GB-SCT
metropolitan district,GB-STY,South Tyneside,GB-ENG
unitary authority,GB-STH,Southampton,GB-ENG
unitary authority,GB-SOS,Southend-on-Sea,GB-ENG
London borough,GB-SWK,Southwark,GB-ENG
metropolitan district,GB-SHN,St. Helens,GB-ENG
two-tier county,GB-STS,Staffordshire,GB-ENG
council area,GB-STG,Stirling,GB-SCT
metropolitan district,GB-SKP,Stockport,GB-ENG
unitary authority,GB-STT,Stockton-on-Tees,GB-ENG
unitary authority,GB-STE,Stoke-on-Trent,GB-ENG
two-tier county,GB-SFK,Suffolk,GB-ENG
metropolitan district,GB-SND,Sunderland,GB-ENG
two-tier county,GB-SRY,Surrey,GB-ENG
London borough,GB-STN,Sutton,GB-ENG
unitary authority,GB-SWA,Swansea [Abertawe GB-ATA],GB-WLS
unitary authority,GB-SWD,Swindon,GB-ENG
metropolitan district,GB-TAM,Tameside,GB-ENG
unitary authority,GB-TFW,Telford and Wrekin,GB-ENG
unitary authority,GB-THR,Thurrock,GB-ENG
unitary authority,GB-TOB,Torbay,GB-ENG
unitary authority,GB-TOF,Torfaen [Tor-faen],GB-WLS
London borough,GB-TWH,Tower Hamlets,GB-ENG
metropolitan district,GB-TRF,Trafford,GB-ENG
unitary authority,GB-VGL,"Vale of Glamorgan, The [Bro Morgannwg GB-BMG]",GB-WLS
metropolitan district,GB-WKF,Wakefield,GB-ENG
country,GB-WLS,Wales [Cymru GB-CYM],
metropolitan district,GB-WLL,Walsall,GB-ENG
London borough,GB-WFT,Waltham Forest,GB-ENG
London borough,GB-WND,Wandsworth,GB-ENG
unitary authority,GB-WRT,Warrington,GB-ENG
two-tier county,GB-WAR,Warwickshire,GB-ENG
unitary authority,GB-WBK,West Berkshire,GB-ENG
